age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,zero_crossing_count,zero_crossing_sum
20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,False,3286,212.07373046875
29.0,19.0,"gonder, ethiopia",amharic10,amharic,female,998,ethiopia,False,4137,177.0703125
24.0,17.0,"addis ababa, ethiopia",amharic11,amharic,female,1129,ethiopia,False,2399,202.8017578125
26.0,15.0,"addis ababa, ethiopia",amharic12,amharic,female,1130,ethiopia,False,2257,150.427734375
28.0,6.0,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,False,2811,255.82080078125
31.0,12.0,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,False,2591,145.3525390625
23.0,6.0,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,False,2879,170.0732421875
36.0,11.0,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,False,2506,176.36376953125
21.0,9.0,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,False,2169,185.75537109375
20.0,2.0,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,False,2026,178.931640625
19.0,10.0,"tefki, ethiopia",amharic19,amharic,female,2132,ethiopia,False,2024,219.45849609375
23.0,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,False,4576,296.6044921875
52.0,24.0,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,False,3338,354.26220703125
27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,False,2059,104.3974609375
20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,False,3768,588.7412109375
31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,False,2248,327.05029296875
31.0,4.0,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,False,2132,200.91796875
38.0,13.0,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,False,2765,182.1513671875
30.0,12.0,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,False,4063,550.40673828125
40.0,12.0,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,False,3603,163.11865234375
38.0,12.0,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,False,3914,213.41357421875
22.0,3.0,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,False,1677,136.546875
19.0,8.0,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,False,2017,138.16162109375
56.0,16.0,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,False,2591,149.9384765625
36.0,6.0,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,False,3317,205.8544921875
18.0,16.0,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,False,1784,111.25634765625
19.0,9.0,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,False,2754,188.69775390625
22.0,5.0,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,False,2812,151.66259765625
19.0,13.0,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,False,3028,176.8837890625
25.0,7.0,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,False,3187,239.07373046875
21.0,13.0,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,False,5585,298.3017578125
29.0,7.0,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,False,2793,148.81494140625
32.0,12.0,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,False,3545,177.2861328125
28.0,13.0,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,False,3153,135.849609375
39.0,16.0,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,False,5529,209.38427734375
29.0,12.0,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,False,3021,127.701171875
26.0,8.0,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,False,3377,153.34326171875
36.0,22.0,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,False,3397,165.9755859375
23.0,12.0,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,False,2222,144.9033203125
21.0,9.0,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,False,2240,176.38623046875
19.0,18.0,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,False,4209,559.7177734375
23.0,6.0,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,False,2159,142.60498046875
