,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,zero_crossing
50,20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,False,212.07373046875
51,29.0,19.0,"gonder, ethiopia",amharic10,amharic,female,998,ethiopia,False,177.0703125
52,24.0,17.0,"addis ababa, ethiopia",amharic11,amharic,female,1129,ethiopia,False,202.8017578125
53,26.0,15.0,"addis ababa, ethiopia",amharic12,amharic,female,1130,ethiopia,False,150.427734375
54,28.0,6.0,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,False,255.82080078125
55,31.0,12.0,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,False,145.3525390625
56,23.0,6.0,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,False,170.0732421875
57,36.0,11.0,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,False,176.36376953125
58,21.0,9.0,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,False,185.75537109375
59,20.0,2.0,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,False,178.931640625
60,19.0,10.0,"tefki, ethiopia",amharic19,amharic,female,2132,ethiopia,False,219.45849609375
61,23.0,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,False,296.6044921875
62,52.0,24.0,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,False,354.26220703125
63,27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,False,104.3974609375
64,20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,False,588.7412109375
65,31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,False,327.05029296875
66,31.0,4.0,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,False,200.91796875
67,38.0,13.0,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,False,182.1513671875
68,30.0,12.0,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,False,550.40673828125
69,40.0,12.0,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,False,163.11865234375
70,38.0,12.0,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,False,213.41357421875
74,22.0,3.0,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,False,136.546875
96,19.0,8.0,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,False,138.16162109375
101,56.0,16.0,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,False,149.9384765625
102,36.0,6.0,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,False,205.8544921875
103,18.0,16.0,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,False,111.25634765625
104,19.0,9.0,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,False,188.69775390625
105,22.0,5.0,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,False,151.66259765625
107,19.0,13.0,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,False,176.8837890625
108,25.0,7.0,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,False,239.07373046875
109,21.0,13.0,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,False,298.3017578125
111,29.0,7.0,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,False,148.81494140625
112,32.0,12.0,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,False,177.2861328125
113,28.0,13.0,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,False,135.849609375
114,39.0,16.0,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,False,209.38427734375
115,29.0,12.0,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,False,127.701171875
116,26.0,8.0,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,False,153.34326171875
118,36.0,22.0,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,False,165.9755859375
119,23.0,12.0,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,False,144.9033203125
120,21.0,9.0,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,False,176.38623046875
131,19.0,18.0,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,False,559.7177734375
133,23.0,6.0,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,False,142.60498046875
135,50.0,14.0,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,False,471.34619140625
137,20.0,6.0,"london, uk",arabic68,arabic,male,1805,uk,False,269.39990234375
